cells,geo,gap,official,difference,between,within,coverage,usable
occupation,AT,18.7328,18.7,0.0328,3.1821,15.5507,1,TRUE
occupation,BE,4.4841,0.7,3.7841,2.6849,1.7992,0.5358,FALSE
occupation,BG,14.594,12.6,1.994,-5.4517,20.0458,0.8329,FALSE
occupation,CY,17.9657,11.9,6.0657,0,17.9657,0.1281,FALSE
occupation,CZ,21.2145,18.4,2.8145,3.6702,17.5443,0.7938,FALSE
occupation,DE,17.7523,17.7,0.0523,1.3902,16.3621,0.9999,TRUE
occupation,DK,13.8352,13.8,0.0352,2.2403,11.5949,0.9962,TRUE
occupation,EE,28.0008,21.1,6.9008,7.2715,20.7293,0.6076,FALSE
occupation,EL,13.4947,13.5,-0.0053,-0.9708,14.4654,1,TRUE
occupation,ES,11.1849,9.2,1.9849,-0.8948,12.0797,0.8602,FALSE
occupation,EU27_2020,13.1647,12.2,0.9647,-3.9114,17.0761,1,FALSE
occupation,FI,18.6231,16,2.6231,6.3379,12.2852,0.8516,FALSE
occupation,FR,15.0471,12.8,2.2471,-0.5199,15.5669,0.7769,FALSE
occupation,HR,16.0948,7.7,8.3948,1.352,14.7429,0.4505,FALSE
occupation,HU,20.8079,17.5,3.3079,-0.616,21.4239,0.7967,FALSE
occupation,IE,12.6283,9.3,3.3283,0.5802,12.0482,0.6132,FALSE
occupation,IT,5.5239,3.8,1.7239,-7.5121,13.036,0.8719,FALSE
occupation,LT,20.9488,10.5,10.4488,2.7427,18.2061,0.3908,FALSE
occupation,LU,-5.8205,-0.7,-5.1205,0,-5.8205,0.0839,FALSE
occupation,LV,22.4202,18.9,3.5202,-2.3075,24.7277,0.817,FALSE
occupation,NL,21.0192,14,7.0192,9.6811,11.3381,0.6513,FALSE
occupation,PL,10.667,7.8,2.867,-5.3089,15.9759,0.8022,FALSE
occupation,PT,13.8005,6.3,7.5005,3.7983,10.0022,0.6783,FALSE
occupation,RO,1.5742,1.5,0.0742,-11.509,13.0832,0.9983,TRUE
occupation,SE,13.5883,10.4,3.1883,1.0499,12.5384,0.5816,FALSE
occupation,SI,6.7799,6.8,-0.0201,-7.428,14.2079,0.9978,TRUE
occupation,SK,19.8662,16.8,3.0662,1.1889,18.6773,0.7724,FALSE
sector,AT,18.7457,18.7,0.0457,0.7562,17.9895,1,TRUE
sector,BE,0.6779,0.7,-0.0221,-3.5746000000000002,4.2525,1,TRUE
sector,BG,12.55,12.6,-0.05,-1.0068,13.5568,1,TRUE
sector,CY,11.4823,11.9,-0.4177,-9.1779,20.6601,0.9837,TRUE
sector,CZ,18.3804,18.4,-0.0196,-2.0883,20.4687,1,TRUE
sector,DE,17.7509,17.7,0.0509,-0.9954,18.7463,1,TRUE
sector,DK,13.7993,13.8,-7e-4,4.4132,9.3861,1,TRUE
sector,EE,21.1012,21.1,0.0012,-1.1762,22.2774,1,TRUE
sector,EL,13.4651,13.5,-0.0349,-0.1555,13.6207,1,TRUE
sector,ES,9.2516,9.2,0.0516,-4.1909,13.4425,1,TRUE
sector,EU27_2020,13.1713,12.2,0.9713,-4.6988,17.8701,1,FALSE
sector,FI,15.969,16,-0.031,2.9344,13.0346,1,TRUE
sector,FR,12.82,12.8,0.02,1.4332,11.3867,1,TRUE
sector,HR,7.6599,7.7,-0.0401,-6.121,13.7808,1,TRUE
sector,HU,17.4778,17.5,-0.0222,-1.193,18.6708,1,TRUE
sector,IE,9.3183,9.3,0.0183,-2.1021,11.4204,1,TRUE
sector,IT,3.8414,3.8,0.0414,-10.5613,14.4027,1,TRUE
sector,LT,10.5071,10.5,0.0071,-5.8283,16.3354,1,TRUE
sector,LU,-0.7532,-0.7,-0.0532,-10.6654,9.9122,0.991,TRUE
sector,LV,18.8407,18.9,-0.0593,-2.5309,21.3716,1,TRUE
sector,MT,5.8141,5.8,0.0141,-2.7261,8.5403,0.9974,TRUE
sector,NL,13.9966,14,-0.0034,-1.37,15.3666,1,TRUE
sector,PL,7.8654,7.8,0.0654,-6.6795,14.5449,1,TRUE
sector,PT,6.2603,6.3,-0.0397,-7.394,13.6543,1,TRUE
sector,RO,1.4922,1.5,-0.0078,-7.1817,8.6739,1,TRUE
sector,SE,10.4184,10.4,0.0184,3.5029,6.9155,1,TRUE
