geo,gap,official,between,within,usable,countries
AT,18.7457,18.7,0.7562,17.9895,TRUE,
BE,0.6779,0.7,-3.5746000000000002,4.2525,TRUE,
BG,12.55,12.6,-1.0068,13.5568,TRUE,
CY,11.4823,11.9,-9.1779,20.6601,TRUE,
CZ,18.3804,18.4,-2.0883,20.4687,TRUE,
DE,17.7509,17.7,-0.9954,18.7463,TRUE,
DK,13.7993,13.8,4.4132,9.3861,TRUE,
EE,21.1012,21.1,-1.1762,22.2774,TRUE,
EL,13.4651,13.5,-0.1555,13.6207,TRUE,
ES,9.2516,9.2,-4.1909,13.4425,TRUE,
EU27_2020,12.2489,12.2,-2.3376,14.5865,TRUE,27
FI,15.969,16,2.9344,13.0346,TRUE,
FR,12.82,12.8,1.4332,11.3867,TRUE,
HR,7.6599,7.7,-6.121,13.7808,TRUE,
HU,17.4778,17.5,-1.193,18.6708,TRUE,
IE,9.3183,9.3,-2.1021,11.4204,TRUE,
IT,3.8414,3.8,-10.5613,14.4027,TRUE,
LT,10.5071,10.5,-5.8283,16.3354,TRUE,
LU,-0.7532,-0.7,-10.6654,9.9122,TRUE,
LV,18.8407,18.9,-2.5309,21.3716,TRUE,
MT,5.8141,5.8,-2.7261,8.5403,TRUE,
NL,13.9966,14,-1.37,15.3666,TRUE,
PL,7.8654,7.8,-6.6795,14.5449,TRUE,
PT,6.2603,6.3,-7.394,13.6543,TRUE,
RO,1.4922,1.5,-7.1817,8.6739,TRUE,
SE,10.4184,10.4,3.5029,6.9155,TRUE,
SI,6.7569,6.8,-4.7133,11.4702,TRUE,
SK,16.8513,16.8,-1.5172,18.3685,TRUE,
