geo,age,year,gap,flag
BE,Y25-34,2024,-5,p
BE,Y35-44,2024,-0.1,p
BE,Y45-54,2024,1.2,p
BE,Y55-64,2024,8,p
BE,Y_LT25,2024,-8.3,p
BG,Y25-34,2024,15.3,p
BG,Y35-44,2024,19.6,p
BG,Y45-54,2024,12.8,p
BG,Y55-64,2024,1.2,p
BG,Y_GE65,2024,-10.6,p
BG,Y_LT25,2024,5.3,p
CY,Y25-34,2024,8.3,p
CY,Y35-44,2024,5.7,p
CY,Y45-54,2024,13.8,p
CY,Y55-64,2024,25.2,p
CY,Y_GE65,2024,26.2,p
CY,Y_LT25,2024,4.4,p
CZ,Y25-34,2024,12.5,dp
CZ,Y35-44,2024,21.6,dp
CZ,Y45-54,2024,21.3,dp
CZ,Y55-64,2024,14.6,dp
CZ,Y_GE65,2024,8.2,dp
CZ,Y_LT25,2024,7.7,dp
DE,Y25-34,2024,6.4,p
DE,Y35-44,2024,14.5,p
DE,Y45-54,2024,20.5,p
DE,Y55-64,2024,24.7,p
DE,Y_GE65,2024,7.2,p
DE,Y_LT25,2024,-0.4,p
DK,Y25-34,2024,11.1,p
DK,Y35-44,2024,13.5,p
DK,Y45-54,2024,16.5,p
DK,Y55-64,2024,16.8,p
DK,Y_GE65,2024,10.9,p
DK,Y_LT25,2024,6.3,p
EE,Y25-34,2024,21.2,p
EE,Y35-44,2024,23.1,p
EE,Y45-54,2024,15.5,p
EE,Y55-64,2024,9.9,p
EE,Y_GE65,2024,13,p
EE,Y_LT25,2024,18.8,p
EL,Y25-34,2024,6.4,p
EL,Y35-44,2024,11.9,p
EL,Y45-54,2024,15.3,p
EL,Y55-64,2024,16.4,p
EL,Y_GE65,2024,21.5,p
EL,Y_LT25,2024,-3.4,p
ES,Y25-34,2024,-0.5,p
ES,Y35-44,2024,5.8,p
ES,Y45-54,2024,9.3,p
ES,Y55-64,2024,12,p
ES,Y_GE65,2024,32.8,p
ES,Y_LT25,2024,1.1,p
FI,Y25-34,2024,8.6,bp
FI,Y35-44,2024,14.3,bp
FI,Y45-54,2024,18.5,bp
FI,Y55-64,2024,18.5,bp
FI,Y_GE65,2024,20.4,bp
FI,Y_LT25,2024,-1.1,bp
FR,Y25-34,2024,6.2,p
FR,Y35-44,2024,12.5,p
FR,Y45-54,2024,14.4,p
FR,Y55-64,2024,21.5,p
FR,Y_GE65,2024,17.8,p
FR,Y_LT25,2024,-5.2,p
HR,Y25-34,2024,5.2,p
HR,Y35-44,2024,8.2,p
HR,Y45-54,2024,10.2,p
HR,Y55-64,2024,4.6,p
HR,Y_GE65,2024,5.2,p
HR,Y_LT25,2024,2.7,p
HU,Y25-34,2024,15.2,p
HU,Y35-44,2024,21.6,p
HU,Y45-54,2024,18.4,p
HU,Y55-64,2024,13.2,p
HU,Y_GE65,2024,13.8,p
HU,Y_LT25,2024,8.5,p
IE,Y25-34,2024,3.9,p
IE,Y35-44,2024,7.6,p
IE,Y45-54,2024,9.6,p
IE,Y55-64,2024,12.3,p
IE,Y_GE65,2024,8.8,p
IE,Y_LT25,2024,0.9,p
IT,Y25-34,2024,2.1,p
IT,Y35-44,2024,5.3,p
IT,Y45-54,2024,8,p
IT,Y55-64,2024,8.9,p
IT,Y_GE65,2024,12.6,p
IT,Y_LT25,2024,8.3,p
LT,Y25-34,2024,9.5,p
LT,Y35-44,2024,10.6,p
LT,Y45-54,2024,9.2,p
LT,Y55-64,2024,5.1,p
LT,Y_GE65,2024,3.8,p
LT,Y_LT25,2024,12.8,p
LV,Y25-34,2024,11.6,p
LV,Y35-44,2024,16.8,p
LV,Y45-54,2024,16,p
LV,Y55-64,2024,12,p
LV,Y_GE65,2024,11.2,p
LV,Y_LT25,2024,9.1,p
MT,Y25-34,2024,-4.5,p
MT,Y35-44,2024,5.4,p
MT,Y45-54,2024,12.9,p
MT,Y55-64,2024,14.7,p
MT,Y_GE65,2024,7.6,p
MT,Y_LT25,2024,-0.1,p
NL,Y25-34,2024,0.9,p
NL,Y35-44,2024,6.3,p
NL,Y45-54,2024,15,p
NL,Y55-64,2024,18,p
NL,Y_GE65,2024,13.6,p
NL,Y_LT25,2024,1.5,p
PL,Y25-34,2024,5,
PL,Y35-44,2024,8.5,
PL,Y45-54,2024,6.3,
PL,Y55-64,2024,-7.7,
PL,Y_GE65,2024,1.5,
PL,Y_LT25,2024,4,
PT,Y25-34,2024,6.6,p
PT,Y35-44,2024,10.4,p
PT,Y45-54,2024,12.9,p
PT,Y55-64,2024,4.9,p
PT,Y_GE65,2024,6.9,p
PT,Y_LT25,2024,8.1,p
RO,Y25-34,2024,2.5,e
RO,Y35-44,2024,6.4,e
RO,Y45-54,2024,0.3,e
RO,Y55-64,2024,-3.6,e
RO,Y_GE65,2024,-19.6,e
RO,Y_LT25,2024,2.7,e
SE,Y25-34,2024,6.9,p
SE,Y35-44,2024,11.5,p
SE,Y45-54,2024,14.4,p
SE,Y55-64,2024,14.2,p
SE,Y_GE65,2024,9.2,p
SE,Y_LT25,2024,5.8,p
SI,Y25-34,2024,10.3,p
SI,Y35-44,2024,10.8,p
SI,Y45-54,2024,9.5,p
SI,Y55-64,2024,5.9,p
SI,Y_GE65,2024,9.2,p
SI,Y_LT25,2024,9.3,p
SK,Y25-34,2024,12.6,p
SK,Y35-44,2024,18.7,p
SK,Y45-54,2024,18.3,p
SK,Y55-64,2024,13,p
SK,Y_GE65,2024,10.8,p
SK,Y_LT25,2024,8.7,p
