geo,control,year,gap,flag
BE,PRV,2024,6.1,p
BE,PUB,2024,-0.5,p
BG,PRV,2024,14.1,p
BG,PUB,2024,6.7,p
CY,PRV,2024,20.8,p
CY,PUB,2024,-3.5,p
CZ,PRV,2024,19.6,dp
CZ,PUB,2024,17.4,dp
DE,PRV,2024,17.9,p
DE,PUB,2024,10.5,p
DK,PRV,2024,13.5,p
DK,PUB,2024,10.8,p
EE,PRV,2024,20.5,p
EE,PUB,2024,16.7,p
ES,PRV,2024,12.2,p
ES,PUB,2024,7.1,p
FI,PRV,2024,16.9,bp
FI,PUB,2024,15.8,bp
HR,PRV,2024,12.2,p
HR,PUB,2024,3.7,p
HU,PRV,2024,17.9,p
HU,PUB,2024,17.3,p
IT,PRV,2024,17.4,p
IT,PUB,2024,2.6,p
LT,PRV,2024,12.9,p
LT,PUB,2024,7,p
LV,PRV,2024,16.1,p
LV,PUB,2024,10.6,p
NL,PRV,2024,16.5,p
NL,PUB,2024,8.8,p
PL,PRV,2024,11.9,
PL,PUB,2024,-1.2,
PT,PRV,2024,21.8,p
PT,PUB,2024,7.4,p
RO,PRV,2024,9.5,e
RO,PUB,2024,3.8,e
SE,PRV,2024,9.4,p
SE,PUB,2024,7.5,p
SI,PRV,2024,9.2,p
SI,PUB,2024,13.2,p
SK,PRV,2024,17.2,p
SK,PUB,2024,14.8,p
