geo,nace,year,gap,flag
AT,B,2024,14.2,p
AT,C,2024,16.7,p
AT,D,2024,15.9,p
AT,E,2024,10.6,p
AT,F,2024,7.4,p
AT,G,2024,19.5,p
AT,H,2024,9.5,p
AT,I,2024,7.2,p
AT,J,2024,19.9,p
AT,K,2024,25.6,p
AT,L,2024,19.5,p
AT,M,2024,25.7,p
AT,N,2024,18.6,p
AT,P,2024,21.3,p
AT,Q,2024,8.6,p
AT,R,2024,22.7,p
AT,S,2024,19.7,p
BE,B,2024,1,p
BE,C,2024,0.9,p
BE,D,2024,16.6,p
BE,E,2024,-3.2,p
BE,F,2024,-6.8,p
BE,G,2024,7.7,p
BE,H,2024,-1.7,p
BE,I,2024,1.5,p
BE,J,2024,6.5,p
BE,K,2024,14,p
BE,L,2024,0.7,p
BE,M,2024,7.6,p
BE,N,2024,6.3,p
BE,P,2024,4.8,p
BE,Q,2024,0,p
BE,R,2024,2.1,p
BE,S,2024,17.3,p
BG,B,2024,10.9,p
BG,C,2024,21.5,p
BG,D,2024,0.1,p
BG,E,2024,10.3,p
BG,F,2024,-24.8,p
BG,G,2024,9.4,p
BG,H,2024,5.8,p
BG,I,2024,4.2,p
BG,J,2024,28.3,p
BG,K,2024,20.3,p
BG,L,2024,7.7,p
BG,M,2024,16.2,p
BG,N,2024,-17.9,p
BG,P,2024,4.9,p
BG,Q,2024,17.4,p
BG,R,2024,10.9,p
BG,S,2024,-9.4,p
CY,B,2024,11.3,u
CY,C,2024,25.2,p
CY,D,2024,0.1,u
CY,E,2024,-54.8,u
CY,F,2024,-5.4,u
CY,G,2024,22.3,p
CY,H,2024,32.3,p
CY,I,2024,7.2,p
CY,J,2024,29,p
CY,K,2024,23.1,p
CY,L,2024,6.8,u
CY,M,2024,25.4,p
CY,N,2024,22.8,p
CY,P,2024,10,p
CY,Q,2024,25.8,p
CY,R,2024,18.9,u
CY,S,2024,24.2,u
CZ,B,2024,10.3,dp
CZ,C,2024,22.6,dp
CZ,D,2024,17.8,dp
CZ,E,2024,1.3,dp
CZ,F,2024,8.9,dp
CZ,G,2024,20.7,dp
CZ,H,2024,7.1,dp
CZ,I,2024,10.1,dp
CZ,J,2024,28.4,dp
CZ,K,2024,35.6,dp
CZ,L,2024,9.8,dp
CZ,M,2024,20.2,dp
CZ,N,2024,12.6,dp
CZ,P,2024,20.4,dp
CZ,Q,2024,24.9,dp
CZ,R,2024,15.2,dp
CZ,S,2024,14.8,dp
DE,B,2024,-0.4,p
DE,C,2024,19.1,p
DE,D,2024,13.8,p
DE,E,2024,-2.2,p
DE,F,2024,10,p
DE,G,2024,19.3,p
DE,H,2024,3.1,p
DE,I,2024,6.2,p
DE,J,2024,19.3,p
DE,K,2024,26,p
DE,L,2024,12.2,p
DE,M,2024,25.2,p
DE,N,2024,13.3,p
DE,P,2024,8.9,p
DE,Q,2024,18.7,p
DE,R,2024,20.6,p
DE,S,2024,13.8,p
DK,B,2024,21.4,p
DK,C,2024,6.3,p
DK,D,2024,10.8,p
DK,E,2024,3.5,p
DK,F,2024,8.7,p
DK,G,2024,16.2,p
DK,H,2024,6.2,p
DK,I,2024,5.4,p
DK,J,2024,15.5,p
DK,K,2024,15.5,p
DK,L,2024,9.6,p
DK,M,2024,16.5,p
DK,N,2024,3.3,p
DK,P,2024,4.7,p
DK,Q,2024,6.8,p
DK,R,2024,8.5,p
DK,S,2024,8.1,p
EE,B,2024,16.8,p
EE,C,2024,22.1,p
EE,D,2024,8,p
EE,E,2024,4.6,p
EE,F,2024,10.9,p
EE,G,2024,29.4,p
EE,H,2024,-4.5,p
EE,I,2024,15.6,p
EE,J,2024,24.5,p
EE,K,2024,28,p
EE,L,2024,8,p
EE,M,2024,25.9,p
EE,N,2024,17.5,p
EE,P,2024,13.9,p
EE,Q,2024,20,p
EE,R,2024,15.8,p
EE,S,2024,15.7,p
EL,B,2024,9.2,p
EL,C,2024,17.4,p
EL,D,2024,8.7,p
EL,E,2024,-5.5,p
EL,F,2024,9.7,p
EL,G,2024,20.1,p
EL,H,2024,10.1,p
EL,I,2024,7.6,p
EL,J,2024,25.3,p
EL,K,2024,19,p
EL,L,2024,18.7,p
EL,M,2024,11.8,p
EL,N,2024,7.8,p
EL,P,2024,10,p
EL,Q,2024,14.4,p
EL,R,2024,9.8,p
EL,S,2024,3.8,p
ES,B,2024,-13.5,p
ES,C,2024,13.5,p
ES,D,2024,15.6,p
ES,E,2024,5.6,p
ES,F,2024,-10.9,p
ES,G,2024,15.5,p
ES,H,2024,-2.3,p
ES,I,2024,10.8,p
ES,J,2024,9.5,p
ES,K,2024,12.2,p
ES,L,2024,10.5,p
ES,M,2024,15.5,p
ES,N,2024,14,p
ES,P,2024,8.9,p
ES,Q,2024,21.1,p
ES,R,2024,6.7,p
ES,S,2024,8.3,p
EU27_2020,B,2024,,
EU27_2020,C,2024,,
EU27_2020,D,2024,,
EU27_2020,E,2024,,
EU27_2020,F,2024,,
EU27_2020,G,2024,,
EU27_2020,H,2024,,
EU27_2020,I,2024,,
EU27_2020,J,2024,,
EU27_2020,K,2024,,
EU27_2020,L,2024,,
EU27_2020,M,2024,,
EU27_2020,N,2024,,
EU27_2020,P,2024,,
EU27_2020,Q,2024,,
EU27_2020,R,2024,,
EU27_2020,S,2024,,
FI,B,2024,-0.3,bp
FI,C,2024,8.8,bp
FI,D,2024,8.9,bp
FI,E,2024,-2.1,bp
FI,F,2024,6.3,bp
FI,G,2024,21.4,bp
FI,H,2024,6,bp
FI,I,2024,7.6,bp
FI,J,2024,10.4,bp
FI,K,2024,23.8,bp
FI,L,2024,15.2,bp
FI,M,2024,15.7,bp
FI,N,2024,13.3,bp
FI,P,2024,12.7,bp
FI,Q,2024,19.3,bp
FI,R,2024,7.2,bp
FI,S,2024,11.5,bp
FR,B,2024,6.5,p
FR,C,2024,10.7,p
FR,D,2024,-8.7,p
FR,E,2024,-7.4,p
FR,F,2024,-11.6,p
FR,G,2024,15.2,p
FR,H,2024,1.5,p
FR,I,2024,4.2,p
FR,J,2024,11.3,p
FR,K,2024,31.7,p
FR,L,2024,15.2,p
FR,M,2024,16,p
FR,N,2024,6.7,p
FR,P,2024,9.6,p
FR,Q,2024,8.3,p
FR,R,2024,17.9,p
FR,S,2024,3,p
HR,B,2024,11.7,p
HR,C,2024,13.5,p
HR,D,2024,-1.9,p
HR,E,2024,-3.5,p
HR,F,2024,-28.5,p
HR,G,2024,24.3,p
HR,H,2024,8,p
HR,I,2024,7.2,p
HR,J,2024,21.8,p
HR,K,2024,21.8,p
HR,L,2024,-2.2,p
HR,M,2024,1.2,p
HR,N,2024,8.1,p
HR,P,2024,16,p
HR,Q,2024,20.6,p
HR,R,2024,12.2,p
HR,S,2024,28.5,p
HU,B,2024,19.4,p
HU,C,2024,23.6,p
HU,D,2024,23.1,p
HU,E,2024,4.5,p
HU,F,2024,0.8,p
HU,G,2024,17.6,p
HU,H,2024,-3.1,p
HU,I,2024,7.4,p
HU,J,2024,27.8,p
HU,K,2024,40.3,p
HU,L,2024,-0.2,p
HU,M,2024,21.6,p
HU,N,2024,11.5,p
HU,P,2024,17.2,p
HU,Q,2024,21.2,p
HU,R,2024,25.8,p
HU,S,2024,10.5,p
IE,B,2024,,
IE,C,2024,,
IE,D,2024,,
IE,E,2024,,
IE,F,2024,,
IE,G,2024,,
IE,H,2024,,
IE,I,2024,,
IE,J,2024,,
IE,K,2024,,
IE,L,2024,,
IE,M,2024,,
IE,N,2024,,
IE,P,2024,,
IE,Q,2024,,
IE,R,2024,,
IE,S,2024,,
IT,B,2024,-2.3,p
IT,C,2024,14.4,p
IT,D,2024,11.3,p
IT,E,2024,-0.3,p
IT,F,2024,9.1,p
IT,G,2024,17.1,p
IT,H,2024,4.9,p
IT,I,2024,8.3,p
IT,J,2024,15.5,p
IT,K,2024,21.8,p
IT,L,2024,21,p
IT,M,2024,23.4,p
IT,N,2024,9.3,p
IT,P,2024,8.8,p
IT,Q,2024,19.8,p
IT,R,2024,57.2,p
IT,S,2024,13.8,p
LT,B,2024,6.1,p
LT,C,2024,23,p
LT,D,2024,7.9,p
LT,E,2024,5.5,p
LT,F,2024,-3.8,p
LT,G,2024,21.7,p
LT,H,2024,-12.5,p
LT,I,2024,12.3,p
LT,J,2024,25.7,p
LT,K,2024,32.4,p
LT,L,2024,11.1,p
LT,M,2024,15.9,p
LT,N,2024,6.6,p
LT,P,2024,3.2,p
LT,Q,2024,26.1,p
LT,R,2024,10.2,p
LT,S,2024,10.5,p
LU,B,2024,,
LU,C,2024,1.8,p
LU,D,2024,,
