geo,latest_year,latest_gap,gap_2010
AT,2024,17.6,24
BE,2024,0.7,10.2
BG,2024,12,13
CY,2024,11.8,16.8
CZ,2024,18.5,21.6
DE,2024,15.6,22.3
DK,2024,14,17.1
EE,2024,18.8,27.7
EL,2024,13.4,15
ES,2024,7.3,16.2
EU27_2020,2024,11.1,15.8
FI,2024,16.3,20.3
FR,2024,11.8,15.6
HR,2024,6.6,5.7
HU,2024,16.9,17.6
IE,2024,8.3,13.9
IT,2024,5.3,5.3
LT,2024,10,11.9
LU,2024,-0.8,8.7
LV,2024,13.9,15.5
MT,2024,4.9,7.2
NL,2024,11.2,17.8
PL,2024,4,4.5
PT,2024,7,12.8
RO,2024,3.7,8.8
SE,2024,11.2,15.4
SI,2024,8,0.9
SK,2024,15.7,19.6
