geo,year,gap,flag
AT,2007,25.5,
AT,2008,25.1,
AT,2009,24.3,
AT,2010,24,
AT,2011,23.5,
AT,2012,22.9,
AT,2013,22.3,
AT,2014,22.2,
AT,2015,21.8,
AT,2016,20.8,
AT,2017,20.7,
AT,2018,20.4,
AT,2019,20,
AT,2020,19.2,
AT,2021,19.1,
AT,2022,18.7,
AT,2023,18.3,p
AT,2024,17.6,p
BE,2007,10.1,
BE,2008,10.2,
BE,2009,10.1,
BE,2010,10.2,
BE,2011,9.4,
BE,2012,8.3,
BE,2013,7.5,
BE,2014,6.6,
BE,2015,6.4,
BE,2016,6,
BE,2017,5.8,
BE,2018,5.8,
BE,2019,4.7,
BE,2020,3.2,
BE,2021,1.8,
BE,2022,0.7,
BE,2023,0.7,p
BE,2024,0.7,p
BG,2007,12.1,
BG,2008,12.3,
BG,2009,13.3,
BG,2010,13,
BG,2011,13.2,
BG,2012,15.1,
BG,2013,14.1,
BG,2014,14.2,
BG,2015,15.5,
BG,2016,14.6,
BG,2017,14.3,
BG,2018,13.9,
BG,2019,14,
BG,2020,12.5,
BG,2021,11.9,
BG,2022,12.6,
BG,2023,13.5,p
BG,2024,12,p
CY,2007,22,
CY,2008,19.5,
CY,2009,17.8,
CY,2010,16.8,
CY,2011,16.1,
CY,2012,15.6,
CY,2013,14.9,
CY,2014,14.2,
CY,2015,13.2,
CY,2016,12.3,
CY,2017,11.2,
CY,2018,10.4,
CY,2019,10.5,
CY,2020,9.9,
CY,2021,11,
CY,2022,11.9,
CY,2023,12,p
CY,2024,11.8,p
CZ,2007,23.6,
CZ,2008,26.2,
CZ,2009,25.9,
CZ,2010,21.6,
CZ,2011,22.6,
CZ,2012,22.5,
CZ,2013,22.3,
CZ,2014,22.5,
CZ,2015,22.5,d
CZ,2016,21.5,d
CZ,2017,21.1,d
CZ,2018,20.1,d
CZ,2019,19.3,
CZ,2020,16.7,
CZ,2021,15.4,
CZ,2022,18.4,
CZ,2023,18,d
CZ,2024,18.5,dp
DE,2007,22.8,
DE,2008,22.8,
DE,2009,22.6,
DE,2010,22.3,
DE,2011,22.4,
DE,2012,22.7,
DE,2013,22.1,
DE,2014,22.3,
DE,2015,21.8,
DE,2016,21.1,
DE,2017,20.4,
DE,2018,20.1,
DE,2019,19.2,
DE,2020,18.3,
DE,2021,17.6,
DE,2022,17.7,b
DE,2023,17.6,p
DE,2024,15.6,p
DK,2007,17.7,
DK,2008,17.1,
DK,2009,16.8,
DK,2010,17.1,
DK,2011,16.4,
DK,2012,16.8,
DK,2013,16.5,
DK,2014,16,
DK,2015,15.1,
DK,2016,15.1,
DK,2017,14.8,
DK,2018,14.6,
DK,2019,17.7,
DK,2020,13.8,
DK,2021,14.2,
DK,2022,13.8,
DK,2023,14,p
DK,2024,14,p
EE,2007,30.9,
EE,2008,27.6,
EE,2009,26.6,
EE,2010,27.7,
EE,2011,27.3,
EE,2012,29.9,
EE,2013,29.8,
EE,2014,28.1,
EE,2015,26.7,
EE,2016,24.8,
EE,2017,24.9,
EE,2018,21.8,
EE,2019,21.6,
EE,2020,21,
EE,2021,20.3,
EE,2022,21.1,
EE,2023,19.6,p
EE,2024,18.8,p
EL,2007,21.5,
EL,2008,22,d
EL,2010,15,
EL,2014,12.5,
EL,2018,10.4,
EL,2022,13.5,
EL,2023,13.6,p
EL,2024,13.4,p
ES,2007,18.1,
ES,2008,16.1,
ES,2009,16.7,
ES,2010,16.2,
ES,2011,17.6,
ES,2012,18.7,
ES,2013,17.8,
ES,2014,14.9,
ES,2015,14.1,
ES,2016,14.8,
ES,2017,13.5,
ES,2018,11.9,
ES,2019,9.6,
ES,2020,9.3,
ES,2021,9.3,
ES,2022,9.2,
ES,2023,7.3,p
ES,2024,7.3,p
EU27_2020,2010,15.8,
EU27_2020,2011,16.2,
EU27_2020,2012,16.4,
EU27_2020,2013,16,
EU27_2020,2014,15.7,
EU27_2020,2015,15.5,
EU27_2020,2016,15.1,
EU27_2020,2017,14.6,
EU27_2020,2018,14.4,
EU27_2020,2019,13.7,
EU27_2020,2020,12.7,
EU27_2020,2021,12.3,
EU27_2020,2022,12.2,
EU27_2020,2023,11.7,p
EU27_2020,2024,11.1,p
FI,2007,20.2,
FI,2008,20.5,
FI,2009,20.8,
FI,2010,20.3,
FI,2011,19.1,
FI,2012,19.2,
FI,2013,18.8,
FI,2014,18.4,
FI,2015,17.5,
FI,2016,17.5,
FI,2017,17.1,
FI,2018,16.9,
FI,2019,16.7,
FI,2020,16.9,
FI,2021,16.9,
FI,2022,16,
FI,2023,16.8,p
FI,2024,16.3,bp
FR,2007,17.3,
FR,2008,16.9,
FR,2009,15.2,
FR,2010,15.6,
FR,2011,15.7,
FR,2012,15.6,
FR,2013,15.5,
FR,2014,15.5,
FR,2015,15.6,
FR,2016,15.9,
FR,2017,16.3,
FR,2018,16.7,
FR,2019,16,
FR,2020,15,
FR,2021,13.7,
FR,2022,12.8,
FR,2023,12.3,p
FR,2024,11.8,p
HR,2010,5.7,
HR,2013,7.7,
HR,2014,8.7,
HR,2016,11.6,
HR,2017,12.3,
HR,2018,11.4,
HR,2019,10.2,
HR,2020,8.7,
HR,2021,7.3,
HR,2022,7.7,
HR,2023,7.4,p
HR,2024,6.6,p
HU,2007,16.3,
HU,2008,17.5,
HU,2009,17.1,
HU,2010,17.6,
HU,2011,18,
HU,2012,20.1,
HU,2013,18.4,
HU,2014,15.1,
HU,2015,14,
HU,2016,14,
HU,2017,15.9,b
HU,2018,14.2,
HU,2019,18.2,b
HU,2020,17.1,p
HU,2021,17.2,p
HU,2022,17.5,p
HU,2023,17.8,p
HU,2024,16.9,p
IE,2007,17.3,
IE,2008,12.6,
IE,2009,12.6,
IE,2010,13.9,
IE,2011,12.7,
IE,2012,12.2,
IE,2013,12.9,
IE,2014,13.9,
IE,2015,13.9,p
IE,2016,14.2,p
IE,2017,14.4,p
IE,2018,11.3,
IE,2019,10.3,
IE,2020,9,
IE,2021,9.9,
IE,2022,9.3,
IE,2023,8.6,p
IE,2024,8.3,p
IT,2007,5.1,
IT,2008,4.9,
IT,2009,5.5,
IT,2010,5.3,
IT,2011,5.7,
IT,2012,6.5,
IT,2013,7,
