geo,nace,share_M,share_F,wage_M,wage_F,gap,between,within
AT,B,0.0034,7e-4,24.04,20.6,14.3095,0.2747,0.0325
AT,C,0.266,0.1216,23.07,18.94,17.902,13.9506,3.6816
AT,D,0.0114,0.0037,29.73,25.15,15.4053,0.9692,0.1589
AT,E,0.0076,0.0028,19,16.81,11.5263,0.3951,0.0528
AT,F,0.1305,0.0225,19.81,18.29,7.6729,9.4628,0.5351
AT,G,0.1394,0.2358,20.04,15.86,20.8583,-7.9609,3.6077
AT,H,0.0872,0.0339,18.7,16.86,9.8396,4.3569,0.5125
AT,I,0.0473,0.0794,13.02,11.98,7.9877,-1.8468,0.303
AT,J,0.0424,0.0291,29.19,23.25,20.3494,1.6015,0.9773
AT,K,0.0301,0.0441,31.49,23.09,26.6751,-1.7554,1.4331
AT,L,0.0071,0.012,25.09,19.68,21.5624,-0.4998,0.2375
AT,M,0.0547,0.0737,28.98,21.04,27.3982,-2.1903,2.3444
AT,N,0.0793,0.0797,16.66,13.62,18.2473,-0.0255,1.1114
AT,P,0.0317,0.0682,25.62,19.79,22.7557,-3.8094,1.3393
AT,Q,0.0371,0.1498,21.4,19.31,9.7664,-10.5495,0.8983
AT,R,0.013,0.0157,21.42,16.42,23.3427,-0.2376,0.3301
AT,S,0.0118,0.0272,21.86,17.03,22.0952,-1.3793,0.4338
BE,B,8e-4,1e-4,26.68,26.38,1.1244,0.0688,5e-4
BE,C,0.2093,0.0762,26.08,25.8,1.0736,12.7583,0.1477
BE,D,0.0077,0.0035,38.63,32.21,16.6192,0.5509,0.1332
BE,E,0.0095,0.0026,25.19,25.98,-3.1362,0.6494,-0.0176
BE,F,0.0762,0.013,21.3,22.74,-6.7606,5.1437,-0.2372
BE,G,0.1292,0.1099,24.2,22.35,7.6446,1.6671,0.8174
BE,H,0.088,0.0284,23.31,23.67,-1.5444,5.1763,-0.0774
BE,I,0.0217,0.0196,18.21,17.94,1.4827,0.1398,0.0206
BE,J,0.0454,0.0207,30.81,28.77,6.6212,2.7262,0.2493
BE,K,0.0287,0.0307,36.2,31.1,14.0884,-0.2504,0.5603
BE,L,0.0036,0.0034,29.61,29.38,0.7768,0.0244,0.003
BE,M,0.0482,0.0422,34.57,31.93,7.6367,0.7318,0.441
BE,N,0.1234,0.1866,21.64,20.27,6.3309,-4.8991,0.7847
BE,P,0.1033,0.1866,42.85,40.74,4.9242,-12.8721,1.1301
BE,Q,0.0803,0.2496,23.97,23.89,0.3338,-14.9742,0.0488
BE,R,0.0145,0.0112,23.32,22.82,2.1441,0.2806,0.0238
BE,S,0.0103,0.0158,26.85,22.19,17.3557,-0.4961,0.2245
BG,B,0.0174,0.0035,7.49,6.39,14.6862,1.6393,0.1941
BG,C,0.2558,0.2306,5.21,3.95,24.1843,1.9481,5.1746
BG,D,0.0259,0.0072,8.34,8.51,-2.0384,2.6655,-0.0475
BG,E,0.028,0.0133,4,3.67,8.25,0.9504,0.1152
BG,F,0.1051,0.0162,4.23,5.06,-19.6217,6.9723,-0.8504
BG,G,0.1295,0.1434,4.94,4.48,9.3117,-1.0988,1.06
BG,H,0.0925,0.0368,4.94,4.54,8.0972,4.4533,0.4367
BG,I,0.0362,0.0513,3.61,3.4,5.8172,-0.896,0.1551
BG,J,0.0786,0.0507,14.25,10.35,27.3684,5.7819,4.2571
BG,K,0.0183,0.042,8.18,6.33,22.6161,-2.9108,0.9423
BG,L,0.0073,0.0059,4.86,4.37,10.0823,0.1085,0.0544
BG,M,0.0243,0.0317,8.35,7.34,12.0958,-0.9734,0.4779
BG,N,0.0807,0.0436,4.24,5.17,-21.934,2.9471,-0.9757
BG,P,0.0367,0.153,6.02,5.89,2.1595,-11.6907,0.2082
BG,Q,0.0414,0.142,6.83,5.43,20.4978,-10.4114,2.1686
BG,R,0.0157,0.0199,4.86,4.05,16.6667,-0.3136,0.2431
