geo,complete,employees,share_250,share_50_249,share_10_49
AT,TRUE,2867997,0.4814,0.2503,0.2684
BE,TRUE,3118876,0.5269,0.2407,0.2324
BG,TRUE,1738194,0.3753,0.3183,0.3064
CY,TRUE,261017,0.4232,0.259,0.3178
CZ,TRUE,3542455,0.4776,0.2949,0.2275
DE,TRUE,32278739,0.508,0.237,0.2551
DK,TRUE,3355251,0.5383,0.2155,0.2462
EE,TRUE,361167,0.2886,0.3622,0.3492
EL,TRUE,2120520,0.427,0.3175,0.2555
ES,TRUE,10550714,0.5158,0.224,0.2602
EU27_2020,TRUE,126331778,0.5068,0.2439,0.2493
FI,TRUE,1611644,0.6442,0.1876,0.1681
FR,TRUE,18048403,0.519,0.2476,0.2333
HR,TRUE,988131,0.4271,0.296,0.2769
HU,TRUE,2681319,0.4572,0.275,0.2679
IE,TRUE,1935505,0.5219,0.2259,0.2523
IT,TRUE,10476245,0.5302,0.2067,0.2631
LT,TRUE,1090844,0.3691,0.3607,0.2702
LU,TRUE,396969,0.4569,0.2879,0.2552
LV,TRUE,586492,0.445,0.2893,0.2657
MT,TRUE,191416,0.445,0.2852,0.2699
NL,TRUE,6991391,0.5758,0.2207,0.2035
PL,TRUE,7892317,0.4297,0.288,0.2823
PT,TRUE,2829943,0.4381,0.2928,0.2691
RO,TRUE,4358632,0.5228,0.2303,0.2469
SE,TRUE,3816992,0.6224,0.1787,0.1988
SI,TRUE,621245,0.4215,0.3279,0.2506
SK,TRUE,1619357,0.4717,0.2903,0.238
